2019-10-07 08:35:28 DEBUG BasicTypeRegistry:156 - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@76c3e77a
2019-10-07 08:35:28 DEBUG BasicTypeRegistry:156 - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@fa49800
2019-10-07 08:35:28 DEBUG BasicTypeRegistry:156 - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@fa49800
2019-10-07 08:35:28 DEBUG BasicTypeRegistry:156 - Adding type registration string -> org.hibernate.type.StringType@505fc5a4
2019-10-07 08:35:28 DEBUG BasicTypeRegistry:156 - Adding type registration java.lang.String -> org.hibernate.type.StringType@505fc5a4
2019-10-07 08:35:28 DEBUG BasicTypeRegistry:156 - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@bd4dc25
2019-10-07 08:35:28 DEBUG BasicTypeRegistry:156 - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@3bf9ce3e
2019-10-07 08:35:28 DEBUG BasicTypeRegistry:156 - Adding type registration url -> org.hibernate.type.UrlType@53fdffa1
2019-10-07 08:35:28 DEBUG BasicTypeRegistry:156 - Adding type registration java.net.URL -> org.hibernate.type.UrlType@53fdffa1
2019-10-07 08:35:28 DEBUG BasicTypeRegistry:156 - Adding type registration Duration -> org.hibernate.type.DurationType@3232a28a
2019-10-07 08:35:28 DEBUG BasicTypeRegistry:156 - Adding type registration java.time.Duration -> org.hibernate.type.DurationType@3232a28a
2019-10-07 08:35:28 DEBUG BasicTypeRegistry:156 - Adding type registration Instant -> org.hibernate.type.InstantType@614ca7df
2019-10-07 08:35:28 DEBUG BasicTypeRegistry:156 - Adding type registration java.time.Instant -> org.hibernate.type.InstantType@614ca7df
2019-10-07 08:35:28 DEBUG BasicTypeRegistry:156 - Adding type registration LocalDateTime -> org.hibernate.type.LocalDateTimeType@18d87d80
2019-10-07 08:35:28 DEBUG BasicTypeRegistry:156 - Adding type registration java.time.LocalDateTime -> org.hibernate.type.LocalDateTimeType@18d87d80
2019-10-07 08:35:28 DEBUG BasicTypeRegistry:156 - Adding type registration LocalDate -> org.hibernate.type.LocalDateType@4fb3ee4e
2019-10-07 08:35:28 DEBUG BasicTypeRegistry:156 - Adding type registration java.time.LocalDate -> org.hibernate.type.LocalDateType@4fb3ee4e
2019-10-07 08:35:28 DEBUG BasicTypeRegistry:156 - Adding type registration LocalTime -> org.hibernate.type.LocalTimeType@7bd4937b
2019-10-07 08:35:28 DEBUG BasicTypeRegistry:156 - Adding type registration java.time.LocalTime -> org.hibernate.type.LocalTimeType@7bd4937b
2019-10-07 08:35:28 DEBUG BasicTypeRegistry:156 - Adding type registration OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@741a8937
2019-10-07 08:35:28 DEBUG BasicTypeRegistry:156 - Adding type registration java.time.OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@741a8937
2019-10-07 08:35:28 DEBUG BasicTypeRegistry:156 - Adding type registration OffsetTime -> org.hibernate.type.OffsetTimeType@bae7dc0
2019-10-07 08:35:28 DEBUG BasicTypeRegistry:156 - Adding type registration java.time.OffsetTime -> org.hibernate.type.OffsetTimeType@bae7dc0
2019-10-07 08:35:28 DEBUG BasicTypeRegistry:156 - Adding type registration ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@5b03b9fe
2019-10-07 08:35:28 DEBUG BasicTypeRegistry:156 - Adding type registration java.time.ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@5b03b9fe
2019-10-07 08:35:28 DEBUG BasicTypeRegistry:156 - Adding type registration date -> org.hibernate.type.DateType@3a44431a
2019-10-07 08:35:28 DEBUG BasicTypeRegistry:156 - Adding type registration java.sql.Date -> org.hibernate.type.DateType@3a44431a
